Student_ID,GPA,Credit_Hours_Completed,Courses_Passed,Courses_Failed,Interest_Area,Attendance_Rate,Study_Hours_Per_Week,Previous_Semester_GPA,Track
STU0001,2.64,134,CS210|CS220|CS310|CS320|CS340|CS401|CS430|CS450|ENG210|ENG310|ENG320|MATH202,CS101,DevOps,88.2,16.1,2.82,Software_Engineering
STU0002,3.14,139,CS102|CS210|CS302|CS310|CS320|CS420|CS430|CS450|ENG210|ENG310|ENG320|MATH202|MATH320,None,software design,82.0,15.3,2.84,Software_Engineering
STU0003,3.27,87,CS102|CS202|CS210|CS220|CS310|CS320|CS420|CS430|CS450|ENG210|ENG310|MATH102|MATH310,None,agile,91.1,14.0,3.54,Software_Engineering
STU0004,3.81,75,CS220|CS301|CS330|CS340|CS350|CS420|CS430|CS450|ENG102|ENG210|ENG310|ENG320,None,cloud,86.1,20.8,3.78,Cloud_Computing
STU0005,3.44,113,CS202|CS301|CS302|CS330|CS340|CS401|CS410|ENG101|ENG210|ENG310|MATH102|MATH301|MATH302,None,deep learning,72.8,21.2,3.22,AI
STU0006,2.69,92,CS210|CS220|CS301|CS320|CS350|CS360|CS420|CS430|ENG210|ENG301|MATH320,ENG101,agile,73.2,11.7,2.86,Software_Engineering
STU0007,2.83,121,CS330|CS340|CS350|CS360|CS420|CS450|ENG210|ENG220|ENG310|ENG320,None,ethical hacking,79.2,18.4,2.85,Cybersecurity
STU0008,2.63,88,CS220|CS340|CS350|CS360|ENG101|ENG102|ENG220|ENG310|ENG320|MATH202|MATH302,CS420|ENG210,forensics,90.9,20.6,3.06,Cybersecurity
STU0009,3.51,112,CS101|CS201|CS202|CS340|CS350|CS360|CS440|CS450|ENG310|ENG320|MATH201|MATH202|MATH301|MATH310,None,security,96.3,10.8,3.34,Cybersecurity
STU0010,3.23,134,CS102|CS202|CS210|CS220|CS310|CS320|CS330|CS420|CS430|ENG102|ENG201|ENG210|ENG301|ENG310|ENG320|MATH301,None,DevOps,94.8,9.4,3.51,Software_Engineering
STU0011,2.85,60,CS102|CS301|CS340|CS350|CS360|CS401|CS440|CS450|ENG101|ENG201|ENG301|ENG310|ENG320,CS202,security,86.1,16.3,2.76,Cybersecurity
STU0012,3.11,110,CS301|CS330|CS340|CS401|CS440|ENG101|ENG220|MATH301|MATH320,None,data analysis,98.3,22.3,2.98,Data_Science
STU0013,3.21,115,CS202|CS210|CS310|CS340|CS350|CS401|CS450|ENG102|ENG310|ENG320|MATH202,None,IoT,88.2,20.5,3.17,Networks
STU0014,3.12,63,CS101|CS301|CS302|CS310|CS360|CS401|CS410|CS420|CS450|ENG102|ENG310|MATH102|MATH201|MATH301|MATH302|MATH320,None,robotics,78.7,20.6,3.41,AI
STU0015,3.64,121,CS301|CS330|CS401|CS440|CS450|ENG102|ENG220|ENG320|MATH201|MATH301|MATH320,None,data analysis,88.0,12.5,3.48,Data_Science
STU0016,4.0,133,CS101|CS201|CS301|CS302|CS310|CS330|CS401|CS410|ENG310|MATH201|MATH202|MATH302|MATH320,None,deep learning,94.0,16.4,3.91,AI
STU0017,3.23,99,CS340|CS350|CS360|CS410|CS420|CS450|ENG320|MATH201|MATH202,None,security,95.9,19.5,3.46,Cybersecurity
